city,cloudiness,humidity,latitude,longitude,Max_temp,wind_speed
Placido de Castro,100,90,-10.34,-67.19,75.94,1.74
Dunedin,49,96,-45.87,170.5,54.7,10.02
Busselton,0,21,-33.64,115.35,77.0,10.6
Provideniya,75,79,64.42,-173.23,24.8,6.71
Rikitea,91,71,-23.12,-134.97,77.31,2.82
Hilo,90,94,19.71,-155.08,73.0,6.93
Pangnirtung,100,93,66.15,-65.72,26.83,10.94
New Norfolk,5,18,-42.78,147.06,68.0,8.05
Hermanus,0,86,-34.42,19.24,62.01,19.8
Baykit,84,98,61.68,96.39,-3.62,4.09
Cape Town,0,88,-33.93,18.42,64.99,9.17
Dubti,69,57,11.74,41.09,74.89,3.38
Buala,98,71,-8.15,159.59,84.65,5.5
Najran,2,72,17.54,44.22,59.0,2.08
Port Elizabeth,1,81,39.31,-74.98,57.0,13.87
Mecca,1,68,21.43,39.83,74.17,2.51
Nemuro,40,45,43.32,145.57,26.6,13.87
Ormara,0,43,25.21,64.64,73.13,17.58
Liberal,1,50,37.04,-100.92,37.4,12.75
Sao Lourenco do Sul,0,95,-31.37,-51.98,53.01,3.87
Koslan,100,97,63.46,48.9,18.01,4.36
Bosaso,82,69,11.28,49.18,79.47,17.09
Castro,90,100,-42.48,-73.76,50.0,16.11
Zhigansk,100,97,66.77,123.37,-18.36,24.38
Yellowknife,40,92,62.45,-114.38,15.8,13.87
Raja Jang,40,87,31.22,74.25,57.2,2.93
Mataura,36,78,-46.19,168.86,59.0,8.01
Grindavik,0,86,63.84,-22.43,28.4,10.29
Albina,98,98,5.5,-54.06,74.14,2.44
Khandbari,0,39,27.38,87.21,52.79,3.02
Faya,69,81,18.39,42.45,55.4,1.14
Clyde River,90,92,70.47,-68.59,12.2,13.87
Berlevag,93,79,70.86,29.09,21.2,10.29
Atuona,3,67,-9.8,-139.03,80.64,10.63
Davila,75,88,18.47,120.58,78.8,12.75
Broken Hill,57,7,-31.97,141.45,86.0,5.82
Hithadhoo,28,78,-0.6,73.08,82.98,9.71
Erzin,40,100,36.95,36.2,53.6,4.7
Lebu,82,85,8.96,38.73,47.61,1.83
Shu,0,70,43.6,73.76,9.99,1.77
Khowai,0,78,24.08,91.6,77.0,3.49
Mehamn,76,79,71.03,27.85,21.2,10.29
Albany,90,75,42.65,-73.75,48.2,9.17
Avarua,0,74,-21.21,-159.78,78.8,6.93
Sao Felix do Xingu,100,96,-6.64,-51.99,73.35,0.2
Dikson,61,100,73.51,80.55,-13.41,1.19
Fuerte Olimpo,100,79,-21.04,-57.87,75.6,3.98
Punta Arenas,6,74,-53.16,-70.91,37.4,17.22
Sola,100,95,-3.17,33.8,62.73,2.21
Kahului,20,48,20.89,-156.47,84.2,8.05
Miyako,75,71,33.63,130.94,57.99,9.17
Puerto Ayora,100,89,-0.74,-90.35,71.01,5.99
Carnarvon,0,15,-30.97,22.13,66.33,6.73
Vila Franca do Campo,75,88,37.72,-25.43,66.2,19.46
Ribeira Grande,100,89,38.52,-28.7,61.86,9.15
Ushuaia,40,65,-54.81,-68.31,41.0,24.16
Oudtshoorn,0,93,-33.59,22.2,57.2,2.24
Kandrian,0,55,-6.21,149.55,86.94,9.31
Butaritari,100,74,3.07,172.79,84.7,12.64
Chokurdakh,3,87,70.62,147.9,-32.35,8.01
Port Alfred,0,84,-33.59,26.89,66.99,4.68
Martapura,20,62,-3.41,114.85,87.8,2.24
Twentynine Palms,1,49,34.14,-116.05,57.2,5.82
Tasiilaq,0,53,65.61,-37.64,24.8,4.7
Kapaa,90,74,22.08,-159.32,80.6,10.29
Nome,90,39,30.04,-94.42,64.4,10.29
Mahibadhoo,100,78,3.78,72.97,82.92,19.06
Shingu,75,58,33.72,135.99,53.6,17.22
Solnechnyy,0,76,50.72,136.64,2.17,4.52
Sao Joao da Barra,56,84,-21.64,-41.05,73.13,18.95
Jinzhou,0,18,41.11,121.12,25.18,3.51
East London,20,93,-33.02,27.91,59.0,2.24
Nago,75,100,45.88,10.89,50.0,6.93
Tema,29,83,5.66,-0.01,78.8,5.82
San Felipe,0,30,-32.75,-70.73,53.83,1.25
Norman Wells,75,84,65.28,-126.83,6.8,6.93
Taltal,0,90,-25.41,-70.49,55.27,1.72
Progreso,0,88,-34.68,-56.22,64.4,6.93
Digha,0,68,21.62,87.51,74.52,7.87
Bambous Virieux,20,83,-20.34,57.76,82.0,4.7
Jamestown,72,12,-33.21,138.6,85.44,17.34
Dolores,0,51,-33.53,-58.22,64.99,6.29
Faanui,84,80,-16.48,-151.75,81.91,14.14
Barrow,0,53,-38.31,-60.23,49.68,9.22
Pevek,100,97,69.7,170.27,-10.08,18.1
Xining,11,47,36.62,101.77,33.4,4.59
Necochea,0,83,-38.55,-58.74,54.0,4.0
Qaanaaq,97,95,77.48,-69.36,-1.08,3.18
Hami,100,35,42.84,93.51,28.4,3.4
Nizhniy Odes,100,90,63.64,54.86,22.05,10.98
Portland,90,93,43.66,-70.25,46.99,3.36
Sioux Lookout,90,85,50.1,-91.92,17.6,5.82
Chilca,90,76,-13.22,-72.34,51.8,5.82
Asyut,0,53,27.18,31.19,53.76,7.02
Saskylakh,99,90,71.97,114.09,2.97,15.66
Bilma,0,22,18.69,12.92,70.45,10.89
Khatanga,91,94,71.98,102.47,-14.82,13.09
Upornaya,100,76,44.39,41.02,45.63,3.18
Roald,100,93,62.58,6.12,37.0,13.87
Union City,1,80,36.42,-89.06,44.01,5.82
Karpathos,22,64,35.51,27.21,65.01,7.14
Xique-Xique,72,82,-10.82,-42.73,69.3,10.38
Henties Bay,54,90,-22.12,14.28,64.0,1.01
Nanortalik,0,56,60.14,-45.24,34.95,8.05
Bredasdorp,2,82,-34.53,20.04,62.01,4.7
Barra da Estiva,71,89,-13.63,-41.33,65.03,3.13
Zhuhai,20,28,40.71,112.04,30.2,4.47
Fukue,75,46,35.03,136.69,54.0,23.04
Georgetown,40,88,6.8,-58.16,78.8,4.7
Nouadhibou,90,93,20.93,-17.03,62.6,9.17
Longyearbyen,51,64,78.22,15.63,-0.4,11.41
Kinangan,40,70,6.3,125.58,86.0,4.7
San Lazaro,100,95,18.04,-88.66,75.9,3.76
Kavaratti,20,74,10.57,72.64,86.0,4.7
Zambezi,90,97,-13.55,23.12,63.97,1.45
Bluff,0,31,-23.58,149.07,92.7,10.89
Ekibastuz,0,87,51.72,75.32,3.61,15.32
Doaba,0,55,33.42,70.74,46.45,1.43
Sohag,0,33,26.55,31.7,54.28,8.84
Tazovskiy,100,93,67.47,78.7,9.77,15.86
Tabuk,72,81,17.41,121.44,78.98,14.36
Mar del Plata,1,42,-46.43,-67.52,59.5,25.23
Saint-Francois,99,81,46.42,3.91,50.0,4.7
Luanda,75,74,-8.83,13.24,78.8,3.36
Beatrice,1,92,40.27,-96.75,26.6,4.54
Ilulissat,100,57,69.22,-51.1,19.4,4.7
Moose Factory,90,92,51.26,-80.61,26.6,6.93
Amga,100,95,60.89,131.98,-8.09,1.03
Kruisfontein,0,85,-34.0,24.73,51.55,3.74
Pacific Grove,40,81,36.62,-121.92,45.0,8.05
Aquiraz,40,74,-3.9,-38.39,86.0,10.29
Ziro,20,78,27.54,93.82,71.6,3.36
Sakaiminato,75,61,35.55,133.23,50.0,19.46
Nikolskoye,90,89,59.7,30.79,33.01,6.71
Lasa,20,82,34.92,32.53,55.4,8.05
Puerto El Triunfo,0,88,13.27,-88.55,80.6,1.12
Muros,90,100,42.77,-9.06,62.01,4.7
Nakusp,93,93,50.24,-117.8,15.01,1.01
Shimoda,75,81,34.7,138.93,53.6,26.4
Knoxville,1,42,35.96,-83.92,50.0,13.87
Leh,97,87,34.16,77.58,11.5,3.76
Mount Gambier,90,93,-37.83,140.78,57.2,8.05
Nuevo Progreso,90,42,26.05,-97.95,70.0,6.93
Korem,95,86,12.51,39.52,50.52,0.87
Amapa,75,88,15.09,-87.97,80.6,5.82
West Wendover,90,84,40.74,-114.07,32.0,9.17
Arraial do Cabo,100,88,-22.97,-42.02,73.09,25.37
Upata,73,94,8.02,-62.41,71.62,4.45
Bichena,98,82,10.45,38.2,47.71,2.19
Waipawa,100,61,-39.94,176.59,73.99,8.99
Daru,100,51,-9.07,143.21,86.29,8.23
Dagana,0,49,16.52,-15.51,71.6,2.24
Brae,100,68,60.4,-1.35,41.0,20.8
Kodiak,1,79,39.95,-94.76,26.6,5.82
Imeni Zhelyabova,100,88,58.95,36.6,28.56,6.91
Zyryanka,100,88,65.73,150.89,-18.02,4.43
Scarborough,100,100,54.28,-0.41,48.99,8.05
Victoria,75,70,5.28,115.24,89.6,4.7
Katsuura,75,70,33.93,134.5,50.0,23.04
Marshall,1,86,39.12,-93.2,33.01,3.36
High Level,90,84,58.52,-117.13,1.4,3.36
Port Lincoln,4,57,-34.72,135.86,65.19,11.68
Thompson,40,84,55.74,-97.86,3.2,5.82
Luderitz,0,83,-26.65,15.16,61.81,12.44
Saint Anthony,90,86,43.97,-111.68,30.99,5.82
Severo-Kurilsk,85,80,50.68,156.12,23.72,10.16
Lorengau,1,76,-2.02,147.27,83.26,11.92
Ikom,31,95,5.96,8.72,73.51,1.16
Xiuyan,0,17,40.29,123.27,24.67,7.96
Teguise,62,88,29.06,-13.56,62.6,9.17
Quatre Cocos,20,83,-20.21,57.76,82.0,4.7
Tuktoyaktuk,40,85,69.44,-133.03,15.8,6.93
Ponta do Sol,100,97,-20.63,-46.0,68.5,4.41
Shakiso,79,96,5.77,38.9,52.47,0.92
Ostrovnoy,100,88,68.05,39.51,15.96,4.94
Dingle,65,79,11.0,122.67,83.14,13.4
Chivay,100,55,-15.64,-71.6,44.06,2.59
Ola,100,88,59.58,151.3,-2.4,14.7
Aasiaat,100,68,68.71,-52.87,18.61,7.27
George,83,93,-15.35,34.83,68.52,1.23
Hobart,21,18,-42.88,147.33,68.0,8.05
Tiksi,100,83,71.64,128.87,-9.22,18.7
Marienburg,75,87,52.12,9.98,52.0,14.99
Oranjemund,0,86,-28.55,16.43,58.59,2.98
Blagoyevo,100,97,63.37,47.92,18.79,3.0
Christchurch,33,39,-43.53,172.64,82.4,12.75
Lavrentiya,75,65,65.58,-170.99,25.12,11.27
Chalus,75,81,36.66,51.42,46.4,6.64
Chicama,40,82,-7.84,-79.15,68.0,8.05
Shelburne,90,86,44.08,-80.2,41.0,11.41
Chuy,0,66,-33.69,-53.46,59.18,5.5
Meulaboh,58,79,4.14,96.13,81.05,5.08
Sao Filipe,19,82,14.9,-24.5,72.97,9.24
Kavieng,42,62,-2.57,150.8,84.11,2.98
Omboue,69,95,-1.57,9.26,74.89,3.2
Vilhena,100,98,-12.74,-60.15,69.53,3.31
El Tarra,100,97,8.57,-73.09,69.48,1.19
Tsabong,0,29,-26.02,22.4,78.85,12.8
Karasjok,100,78,69.47,25.52,14.0,25.28
Karratha,63,59,-20.74,116.85,80.53,9.71
Maragogi,38,79,-9.01,-35.22,79.21,11.9
Rawson,91,65,-43.3,-65.11,54.7,11.41
Bethel,90,100,60.79,-161.76,28.4,9.17
Vaini,26,73,15.34,74.49,75.2,6.93
Pisco,100,82,-13.71,-76.2,66.2,6.93
Comitancillo,9,90,15.09,-91.75,55.0,2.39
Saint-Philippe,90,100,45.36,-73.48,41.0,4.7
Narasannapeta,0,73,18.42,84.04,74.8,4.83
Feicheng,0,33,36.18,116.77,38.59,5.1
La Puebla de Cazalla,75,100,37.22,-5.31,55.99,5.82
Khurba,44,84,50.41,136.89,-1.17,15.05
Devils Lake,90,100,48.11,-98.87,19.4,5.82
Grand-Lahou,1,78,5.24,-5.0,82.54,13.38
Jabinyanah,29,87,35.03,10.91,46.4,6.4
Port Blair,99,75,11.67,92.75,83.62,19.13
General Pico,0,39,-35.66,-63.75,60.24,2.39
Fortuna,40,93,40.6,-124.16,39.0,5.82
Hit,100,62,33.64,42.83,63.45,5.64
Half Moon Bay,75,93,37.46,-122.43,46.0,5.82
Cervo,100,96,-22.19,-46.24,65.12,1.25
Griffin,1,37,33.25,-84.26,55.99,9.17
Fairbanks,75,86,64.84,-147.72,30.2,9.17
Mahebourg,20,83,-20.41,57.7,82.0,4.7
Arkhara,0,78,49.42,130.09,-0.45,3.53
Pochutla,5,83,15.74,-96.47,80.6,8.81
Rio Casca,100,91,-20.23,-42.65,65.61,2.66
Formosa,100,89,-15.55,-47.33,67.12,2.42
Kaitangata,52,68,-46.28,169.85,57.99,5.99
Marzuq,52,63,14.4,46.47,56.35,1.05
Kawalu,66,58,-7.38,108.21,83.8,4.34
Gresham,90,48,45.51,-122.44,42.8,11.41
Avera,1,54,33.19,-82.53,64.4,5.82
Namatanai,1,63,-3.66,152.44,84.24,8.05
Kamenka,0,94,48.03,28.7,28.0,1.99
Kajaani,90,92,64.22,27.73,19.4,6.93
Dongsheng,76,60,29.72,112.52,43.52,9.53
Sarkand,0,43,45.41,79.91,9.41,1.88
Cururupu,7,94,-1.82,-44.87,74.32,2.66
Upernavik,100,71,72.79,-56.15,23.7,8.03
Geraldton,90,92,49.72,-86.95,21.2,9.17
Galesong,20,66,-5.32,119.37,91.4,11.41
Bilibino,100,100,68.06,166.44,-32.19,1.7
Baiyin,40,80,36.55,104.13,30.2,2.24
Puerto Ayacucho,29,94,5.66,-67.63,74.12,1.32
Tura,100,86,64.27,100.22,3.79,7.29
Vila,75,100,45.18,8.4,48.99,6.93
Matamoros,90,83,25.87,-97.51,69.8,8.05
Birao,0,21,10.3,22.78,72.72,9.1
Shangqiu,0,35,34.42,115.65,40.71,6.31
Mahajanga,20,94,-15.72,46.32,75.2,12.73
Marsa Matruh,78,56,31.35,27.25,69.94,6.85
Bahia Blanca,0,31,-38.72,-62.27,57.74,10.13
Saldanha,86,92,41.42,-6.55,49.42,13.09
Gizo,0,66,31.8,34.94,59.0,3.36
Romny,5,94,50.74,33.49,28.63,4.14
Seoul,1,49,37.57,126.98,50.0,2.24
Vila Velha,40,74,-3.71,-38.6,86.0,10.29
Grenfell,27,7,-33.9,148.16,86.22,8.25
Cherskiy,47,100,68.75,161.3,-33.27,0.96
Kaniama,99,98,-7.57,24.18,64.04,1.39
Taoudenni,0,24,22.68,-3.98,61.59,4.92
El Tigre,93,82,8.89,-64.25,76.77,10.67
Huarmey,99,81,-10.07,-78.15,65.07,1.45
Hagere Selam,68,88,6.48,38.52,46.72,3.96
Turbat,0,33,26.0,63.05,61.03,15.97
Homer,90,81,59.64,-151.54,42.8,17.22
Egvekinot,100,95,66.32,-179.17,7.23,3.13
Santo Antonio do Ica,93,95,-3.1,-67.94,74.77,2.48
Knyaze-Volkonskoye,0,35,48.46,135.46,8.6,20.13
Torbay,90,93,47.66,-52.73,39.0,23.04
Grand Gaube,20,83,-20.01,57.66,82.0,4.7
Ust-Nera,97,99,64.57,143.24,-43.89,2.57
Marawi,28,79,8.0,124.29,82.99,8.01
Bindi,0,18,12.86,8.84,71.92,7.2
Bethlehem,90,63,40.62,-75.38,57.2,21.92
Canakkale,75,93,40.15,26.41,46.4,3.36
Manzhouli,0,68,49.6,117.43,6.91,7.34
