city,cloudiness,humidity,latitude,longitude,Max_temp,wind_speed
Klaksvik,100,74,62.23,-6.59,35.6,20.8
Puerto Baquerizo Moreno,100,83,-0.9,-89.6,71.71,14.32
Jasdan,0,49,22.04,71.2,73.0,12.8
Huedin,20,93,46.86,23.03,39.2,3.36
Namibe,18,83,-15.19,12.15,71.91,5.23
Airai,0,34,-8.93,125.41,86.59,7.27
Narsaq,0,63,60.91,-46.05,26.6,1.12
Havelock,75,77,34.88,-76.9,64.99,12.75
Cabo San Lucas,90,94,22.89,-109.91,73.0,4.7
Miraflores,100,44,-16.39,-71.52,60.8,5.82
Indianola,1,85,40.24,-100.42,21.2,9.17
Kuala Lipis,100,68,4.19,102.05,82.8,3.0
Sobral,0,82,-3.69,-40.35,72.81,3.51
Nhulunbuy,20,46,-12.18,136.78,91.4,10.29
Luba,0,60,17.32,120.7,86.02,16.11
Port Hawkesbury,75,92,45.62,-61.36,36.0,0.56
Raudeberg,100,60,61.99,5.14,41.0,17.22
Chitaga,75,100,7.14,-72.67,71.6,2.24
Padang,34,66,-0.92,100.36,81.5,1.57
Ustka,81,90,54.58,16.86,43.79,12.35
Muncar,20,76,-8.43,114.34,81.32,8.14
Pacifica,75,93,37.61,-122.49,46.0,5.82
Sukumo,100,84,32.94,132.72,54.54,3.8
Lafia,0,32,8.5,8.51,73.38,1.92
Beringovskiy,82,84,63.05,179.32,11.16,8.97
Aklavik,40,79,68.22,-135.01,24.8,8.05
Esperance,90,59,-33.86,121.89,60.8,14.99
Souillac,97,93,45.6,-0.6,50.0,9.17
Margate,21,18,-43.03,147.26,68.0,8.05
Derzhavinsk,27,94,51.1,66.31,5.49,12.19
San Andres,8,68,13.32,122.68,84.51,12.1
Srednekolymsk,55,76,67.46,153.71,-30.44,2.33
Constantine,40,81,36.36,6.61,51.8,5.82
Flinders,0,32,-34.58,150.85,87.01,14.99
Santa Fe,0,52,-31.62,-60.7,69.01,5.21
San Cristobal,7,95,14.68,-86.92,66.43,4.61
Storslett,56,65,69.77,21.03,24.28,16.84
Shaunavon,100,91,49.65,-108.41,19.4,17.83
Ughelli,93,95,5.49,6.0,75.52,2.24
Gornopravdinsk,100,93,60.06,69.92,19.49,10.6
Le Port,46,65,42.87,1.37,50.0,5.99
Mantua,75,100,45.16,10.79,53.01,6.93
Byron Bay,95,65,-28.65,153.62,84.2,14.99
Verkh-Usugli,0,64,52.7,115.17,4.44,0.25
Isangel,75,62,-19.55,169.27,86.0,11.41
Misratah,0,53,32.38,15.09,66.9,10.6
Panama City,1,93,30.16,-85.65,66.2,3.36
Sorong,83,52,-0.86,131.25,90.54,7.25
Ozinki,100,88,51.2,49.73,21.13,12.15
Iqaluit,90,79,63.75,-68.52,24.8,11.41
Baicheng,0,28,45.61,122.87,15.13,5.28
Vao,100,95,59.1,26.19,31.89,9.08
Puerto Escondido,20,74,15.86,-97.07,80.6,3.0
Majene,41,63,-3.54,118.97,86.67,7.4
Zelenoborskiy,98,86,66.84,32.36,17.2,1.52
Spas-Demensk,0,95,54.41,34.03,23.4,4.18
Tommot,100,91,58.97,126.27,4.84,11.32
Trebinje,75,87,42.71,18.35,60.8,5.82
Ancud,90,100,-41.87,-73.83,50.0,16.11
Mathbaria,0,68,22.29,89.96,75.79,4.21
Nkhotakota,100,73,-12.93,34.3,78.03,13.94
Bathsheba,40,78,13.22,-59.52,80.6,16.11
Damietta,0,76,31.42,31.81,67.23,10.71
Golubitskaya,100,93,45.32,37.28,42.8,4.47
Saint-Augustin,90,97,45.63,-73.98,41.0,9.17
Gimli,0,69,50.63,-96.99,23.0,5.99
Juneau,20,85,58.3,-134.42,28.99,1.95
Cabrobo,33,69,-8.51,-39.31,77.49,19.15
Boende,98,99,-0.28,20.88,68.99,1.34
Umm Kaddadah,0,17,13.6,26.69,71.08,11.43
College,75,86,64.86,-147.8,30.2,9.17
Coxim,100,92,-18.5,-54.75,71.87,8.23
San Lorenzo,0,72,13.43,-87.45,78.71,3.31
Jinchang,85,45,38.52,102.19,26.35,2.39
Wairoa,100,70,-39.04,177.43,71.01,10.0
Cidreira,0,61,-30.17,-50.22,69.31,11.74
Erenhot,0,28,43.65,111.97,18.7,6.31
Kassala,0,76,15.45,36.38,72.37,4.68
Mount Isa,40,18,-20.73,139.49,100.4,12.75
Bermejo,83,71,-22.73,-64.34,63.34,2.21
Alice Springs,75,15,-23.7,133.88,87.8,17.22
Jilotepec,27,79,19.61,-96.95,56.61,3.18
Weatherford,90,70,32.76,-97.8,50.0,9.17
Vicksburg,1,61,32.35,-90.88,53.6,8.03
Husavik,0,69,50.56,-96.99,23.0,5.99
Prochnookopskaya,100,78,45.06,41.12,42.91,3.31
Villanueva de la Serena,52,92,38.97,-5.8,52.0,3.0
Sorland,40,63,67.67,12.69,30.2,5.82
Sochi,90,93,43.6,39.73,50.0,2.24
Te Anau,87,93,-45.41,167.72,56.17,3.42
Grand-Santi,54,99,4.27,-54.38,72.34,1.57
Florianopolis,75,73,-27.6,-48.55,70.0,17.22
Miandrivazo,77,69,-19.53,45.46,81.14,2.71
Luquillo,20,78,18.37,-65.72,80.6,5.82
Talnakh,75,84,69.49,88.39,8.6,22.37
Kieta,4,66,-6.22,155.63,83.53,7.56
Road Town,1,74,18.42,-64.62,80.6,6.93
Tiarei,40,70,-17.53,-149.33,84.2,11.41
Praia,100,73,-20.25,-43.81,69.8,2.17
San Patricio,65,75,-26.98,-56.83,64.67,7.05
Tapes,96,77,-30.67,-51.4,57.58,2.28
Las Vegas,40,81,36.17,-115.15,46.4,16.11
Palmer,75,49,-34.85,139.16,82.99,18.34
Sitka,100,62,37.17,-99.65,33.01,5.01
Porto Novo,75,94,-23.68,-45.44,69.8,3.36
Muravlenko,100,92,63.79,74.5,11.89,24.92
Nileshwar,20,79,12.25,75.1,84.2,9.17
Kurumkan,100,80,54.33,110.32,-1.59,0.78
Cesis,100,96,57.31,25.27,34.0,3.0
Tuatapere,100,78,-46.13,167.69,59.0,8.01
Lagoa,20,100,37.14,-8.45,57.0,3.36
La Asuncion,50,82,-26.05,-65.39,55.78,3.6
Paamiut,58,45,61.99,-49.67,31.64,8.34
Bowen,5,35,-20.01,148.25,88.0,14.99
Saint Thomas,1,72,29.89,-91.01,64.4,3.36
Eydhafushi,100,76,5.1,73.07,83.77,17.67
Yarada,20,69,17.65,83.27,80.6,9.17
Kiruna,100,92,67.86,20.23,5.0,2.24
Bluefields,85,98,12.01,-83.77,75.36,3.42
Lima,90,88,-12.06,-77.04,66.2,4.7
Kharp,98,97,66.82,65.8,6.55,1.99
Igarka,100,93,67.47,86.57,7.66,21.43
Nabire,1,45,-3.36,135.5,93.4,4.85
Comodoro Rivadavia,75,48,-45.87,-67.48,60.8,32.21
Paysandu,0,70,-32.32,-58.08,64.0,6.71
Sulangan,13,72,11.14,123.72,83.5,15.95
Itapirapua,94,93,-15.82,-50.61,72.05,2.68
Batagay-Alyta,100,91,67.8,130.41,-14.57,8.21
Ukiah,75,100,39.15,-123.21,39.99,3.24
Anadyr,75,78,64.73,177.51,12.2,15.66
Inzhavino,100,66,52.33,42.5,27.12,11.03
Ixtapa,5,83,20.71,-105.21,81.0,4.7
Southbridge,90,93,42.08,-72.03,51.01,23.04
Araouane,0,21,18.9,-3.53,70.43,8.05
Banjar,10,50,-7.37,108.54,90.39,2.89
Acapulco,40,83,16.86,-99.88,80.6,3.36
Radyvyliv,100,77,50.13,25.25,37.85,17.36
Washington DC.,1,52,38.9,-77.04,55.99,14.99
Nioro,0,28,13.79,-15.05,75.02,6.62
Paita,61,79,-5.09,-81.11,70.0,6.26
Sand Springs,1,52,36.14,-96.11,44.01,5.01
Pitimbu,20,88,-7.47,-34.81,75.2,4.7
Whyalla,78,43,-33.04,137.58,71.6,10.29
Gulbene,89,90,57.18,26.75,31.37,8.57
Magadi,75,88,12.96,77.22,80.01,8.05
Florence,75,93,34.2,-79.77,66.2,8.05
Gouyave,20,83,12.16,-61.73,80.6,5.82
Bada,37,96,7.45,3.75,72.81,0.92
Annau,33,86,37.89,58.52,26.6,6.93
Tautira,40,70,-17.73,-149.15,84.2,11.41
Aitape,0,76,-3.15,142.36,83.37,15.23
Codrington,40,45,-28.95,153.24,84.2,4.7
Bacolod,36,68,10.68,122.95,85.15,9.69
Lompoc,75,86,34.64,-120.46,46.4,6.93
Neiafu,20,61,-18.65,-173.98,78.8,9.17
Cayenne,88,94,4.94,-52.33,77.0,2.24
Poronaysk,100,62,49.22,143.1,14.43,16.93
Alofi,40,65,-19.06,-169.92,78.8,11.41
Dickinson,90,79,46.88,-102.79,21.99,14.99
Aswan,0,26,24.09,32.9,60.03,11.32
Minab,0,58,27.15,57.07,55.4,2.24
Xuanhua,0,22,40.61,115.04,24.31,1.63
Tual,46,62,-5.67,132.75,85.86,10.36
Sabha,0,39,27.03,14.43,56.5,6.71
Finote Selam,100,81,10.7,37.27,52.9,4.03
Coos Bay,90,86,43.37,-124.22,39.99,6.93
Kununurra,40,29,-15.77,128.74,98.6,5.82
Vardo,1,39,39.62,-77.74,53.01,32.21
Noyon,45,87,49.58,3.0,51.8,19.46
Vyartsilya,100,97,62.18,30.69,31.24,6.98
Hobyo,100,76,5.35,48.53,77.45,10.74
Bonfim,0,72,3.36,-59.84,80.6,9.82
Camacha,20,87,33.08,-16.33,66.2,4.7
Kushima,75,82,31.5,131.29,59.0,3.36
Kutum,0,24,14.2,24.66,62.26,4.92
Mindyak,20,33,54.02,58.79,28.4,4.47
Darnetal,99,81,49.45,1.15,51.8,16.11
Moranbah,0,24,-22.0,148.04,95.18,13.51
Lakes Entrance,76,64,-37.88,147.99,78.01,8.01
Rovaniemi,95,84,66.5,25.72,8.6,13.87
Flin Flon,88,97,54.77,-101.88,7.43,4.52
Wuan,17,44,31.68,112.0,43.47,6.46
Yarmouth,90,93,43.84,-66.12,43.0,17.22
Guerrero Negro,100,83,27.97,-114.04,62.47,8.03
Dubovka,75,73,49.06,44.83,26.6,17.9
Hambantota,75,100,6.12,81.12,82.4,14.99
Qeshm,0,58,26.96,56.27,64.4,2.24
Binzhou,0,40,37.38,117.96,44.01,3.74
Tanout,36,17,14.97,8.88,74.21,9.33
Naze,40,94,5.43,7.07,77.0,2.19
Banda Aceh,92,67,5.56,95.32,84.65,5.95
Natal,20,88,-5.81,-35.21,75.2,5.82
Lazdijai,100,92,54.23,23.51,34.38,10.0
Carballo,100,87,43.21,-8.69,55.99,3.36
Leningradskiy,100,96,69.38,178.42,3.15,37.89
Thinadhoo,99,78,0.53,72.93,82.71,7.9
Clarksburg,1,32,39.24,-77.28,55.99,17.22
Lazaro Cardenas,75,77,28.39,-105.62,59.0,10.29
Brownwood,90,39,31.71,-98.99,46.99,9.17
Kropotkin,100,81,45.43,40.58,45.72,10.25
Aconibe,100,98,1.29,10.94,67.42,2.66
Lac du Bonnet,0,69,50.25,-96.06,23.0,5.99
Mingguang,0,52,32.78,118.01,42.3,10.07
Khilok,93,68,51.36,110.46,6.3,1.88
Bronnoysund,75,51,65.46,12.2,32.0,1.12
Saint-Pierre,100,100,48.95,4.24,51.8,19.46
Vanimo,1,73,-2.67,141.3,83.37,6.89
San Policarpo,4,75,12.18,125.51,84.11,15.93
Takoradi,15,84,4.89,-1.75,80.15,7.25
Constitucion,75,55,23.99,-104.67,60.8,6.93
Severodvinsk,75,92,64.56,39.82,19.4,2.24
Lambarene,100,94,-0.7,10.22,74.5,4.09
Nantucket,20,100,41.28,-70.1,54.0,10.29
Yumen,46,31,40.29,97.04,22.68,5.23
Mandera,47,32,3.94,41.86,71.01,3.49
Zaraza,100,95,9.35,-65.33,74.21,4.76
Saint George,40,100,39.45,22.34,48.2,0.36
Talaja,20,64,21.35,72.04,69.8,4.7
Nyakahanga,34,96,-1.0,29.54,60.67,3.15
Pryazha,100,92,61.69,33.62,28.4,4.47
Kralendijk,8,78,12.15,-68.27,82.4,13.87
Broome,100,87,52.47,1.45,48.2,13.87
Salekhard,100,92,66.54,66.62,14.16,12.37
Macamic,90,86,48.75,-79.0,26.6,20.8
Pravdinskiy,90,92,56.06,37.86,32.0,6.71
Hirara,75,68,24.8,125.28,71.6,18.34
Tonekabon,20,87,36.82,50.88,48.2,2.24
Tecoanapa,20,88,16.99,-99.26,78.8,1.86
Orange Cove,90,100,36.62,-119.31,46.4,5.82
Ahipara,57,71,-35.17,173.16,75.99,13.71
Omagh,49,98,54.6,-7.3,39.74,2.89
Laranjal Paulista,100,94,-23.05,-47.84,71.01,1.16
Casa Grande,40,82,-7.74,-79.19,68.0,8.05
Port-Gentil,100,83,-0.72,8.78,79.59,14.43
Busayra,0,54,30.74,35.61,45.66,1.41
Aksu,0,84,52.04,76.93,-2.2,6.71
Boyuibe,100,74,-20.43,-63.28,64.65,3.15
Mandalgovi,26,46,45.76,106.27,15.22,7.23
Atar,26,24,20.52,-13.05,67.08,2.42
Bela,0,28,26.23,66.31,67.6,6.35
Yerbogachen,95,92,61.28,108.01,-1.08,11.83
Kargasok,79,91,59.06,80.87,2.93,14.76
Okahandja,13,28,-21.98,16.91,73.99,4.7
Safita,40,93,34.82,36.12,59.0,3.36
Sokolovo,22,93,44.62,16.86,46.4,2.24
Solwezi,100,98,-12.18,26.4,59.59,1.19
Rodrigues Alves,100,94,-7.74,-72.65,78.8,1.12
Charyshskoye,100,82,51.4,83.56,4.75,2.64
San Antonio,0,86,-33.58,-71.61,49.69,3.33
Viedma,100,43,-40.81,-62.99,59.04,12.88
Beloha,0,77,-25.17,45.06,68.45,5.17
Puerto Colombia,84,83,10.99,-74.96,82.99,13.87
Nefteyugansk,75,85,61.09,72.61,14.0,13.42
Monywa,18,71,22.12,95.13,77.16,8.28
Port Hardy,5,52,50.7,-127.42,32.0,6.93
Opuwo,27,58,-18.06,13.84,70.11,4.85
Hasaki,75,81,35.73,140.83,50.0,8.05
Alta Floresta,100,96,-9.87,-56.08,73.22,2.37
Chernenko,83,92,47.23,37.74,45.9,8.12
Idrinskoye,100,96,54.37,92.14,5.79,1.1
Corsicana,90,51,32.09,-96.46,53.6,9.17
Iskateley,96,91,67.68,53.15,20.55,13.53
Rancho Palos Verdes,90,76,33.75,-118.37,55.99,12.73
Kendallville,90,80,41.44,-85.27,37.4,13.87
Elizabeth City,1,88,36.3,-76.22,64.0,18.34
Haines Junction,84,73,60.75,-137.51,8.02,9.57
Valdivia,90,100,-39.81,-73.25,50.0,1.63
Hualmay,100,81,-11.1,-77.61,65.21,1.74
Yar-Sale,100,94,66.83,70.83,8.62,11.92
Matara,82,94,-3.48,29.48,56.91,0.85
Mgandu,62,88,-5.96,34.11,62.49,1.61
Ghanzi,67,30,-21.7,21.65,73.65,9.17
Ariquemes,100,97,-9.91,-63.03,74.62,2.98
Bakchar,70,94,57.02,82.07,-1.97,9.01
Suntar,100,85,62.16,117.65,3.29,11.86
Turtas,100,93,58.94,69.13,20.91,10.76
San Juan,0,34,-31.54,-68.53,72.72,3.94
Visby,100,100,57.64,18.3,45.0,8.05
Whitecourt,90,84,54.14,-115.68,8.6,3.36
Phalaborwa,0,73,-23.95,31.14,71.6,2.24
